Common Name,Scientific Name,Continentality,Seasonality,Germination Time,Growth Time (days),N-P-K Ratio,Preferred pH,Row Space (in.),Plant Space (in.),Planting Depth (in.),Inches of Water (Weekly),Water Frequency (days)
Arugula,Eruca vesicaria,Africa,"Spring, Fall",7-14 ,40-60 ,10-5-5,6.0-7.0,12,6,0.25,1-1.5,3-5
Ash Gourd,Benincasa hispida,Asia,Summer,7-14 ,120-150 ,5-10-10,6.0-6.8,60,48,1,1.5-2,3-5
Asian Greens,Brassica rapa,Asia,"Spring, Fall",7-14 ,45-60 ,10-5-5,6.0-7.0,12,6,0.25,1-1.5,3-5
Asparagus,Asparagus officinalis,Africa,Spring,7-10 ,730-1095 ,5-10-10,6.0-6.8,48,18,1,1.5-2,5-7
Azuki Bean,Vigna angularis,Asia,Summer,7-14 ,90-120 ,5-10-10,6.0-6.8,24,4,1,1-1.5,5-7
Baby Boo Pumpkin,Cucurbita pepo,North America,Summer,7-10 ,90-100 ,5-10-10,6.0-6.8,60,48,1,1.5-2,3-5
Bamboo Shoot,Bambusa vulgaris,Asia,"Spring, Summer",7-14 ,1095-1825 ,10-5-5,6.0-6.5,60,48,1,1.5-2,3-5
Banana Pepper,Capsicum annuum,South America,Summer,7-14 ,70-80 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Banana Squash,Cucurbita maxima,South America,Summer,7-10 ,90-120 ,5-10-10,6.0-6.8,72,48,1,1.5-2,3-5
Basil,Ocimum basilicum,Asia,Summer,5-10 ,60-90 ,10-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Bean Sprout,Phaseolus vulgaris,Asia,"Spring, Summer, Fall",3-5 ,7-10 ,5-5-5,6.0-7.0,N/A,N/A,N/A,N/A,N/A
Beet,Beta vulgaris,Europe,"Spring, Fall",5-10 ,50-70 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,5-7
Belgian Endive,Cichorium intybus,Europe,"Spring, Fall",14-21 ,150-180 ,5-10-10,6.0-7.0,18,6,0.25,1-1.5,5-7
Bell Pepper,Capsicum annuum,South America,Summer,7-14 ,70-90 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Bintje Potato,Solanum tuberosum,Europe,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Bitter Melon,Momordica charantia,Asia,Summer,7-14 ,65-75 ,5-10-10,5.5-6.7,36,24,0.5,1.5-2,3-5
Black Bean,Phaseolus vulgaris,South America,Summer,7-14 ,85-100 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Black Radish,Raphanus sativus,Europe,"Spring, Fall",5-10 ,55-70 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,5-7
Black Salsify,Scorzonera hispanica,Europe,"Spring, Fall",14-21 ,120-150 ,5-10-10,6.0-7.0,18,6,0.5,1-1.5,5-7
Black-Eyed Pea,Vigna unguiculata,Africa,Summer,7-14 ,70-90 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Bok Choy,Brassica rapa,Asia,"Spring, Fall",7-14 ,45-60 ,10-5-5,6.0-7.0,12,6,0.25,1-1.5,3-5
Boniato,Ipomoea batatas,South America,Summer,14-21 ,90-120 ,5-10-10,5.5-6.5,36,12,4,1-1.5,7-10
Borage,Borago officinalis,Europe,"Spring, Summer",7-14 ,60-80 ,5-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Borlotti Bean,Phaseolus vulgaris,Europe,Summer,7-14 ,70-90 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Boston Morrow Squash,Cucurbita maxima,North America,Summer,7-10 ,90-110 ,5-10-10,6.0-6.8,60,48,1,1.5-2,3-5
Broad Beans,Vicia faba,Europe,"Spring, Fall",7-14 ,80-100 ,5-10-10,6.0-7.0,24,8,1,1-1.5,5-7
Broad-Leaf Arrowhead,Sagittaria latifolia,North America,"Spring, Summer",14-21 ,90-120 ,5-10-10,6.0-7.0,24,12,1,1.5-2,3-5
Broccoflower,Brassica oleracea,Europe,"Spring, Fall",7-14 ,70-90 ,10-5-5,6.0-7.0,24,18,0.5,1-1.5,5-7
Broccoli,Brassica oleracea,Europe,"Spring, Fall",7-14 ,60-100 ,10-10-10,6.0-7.0,24,18,0.5,1.5-2,5-7
Broccolini,Brassica oleracea,Europe,"Spring, Fall",7-14 ,60-80 ,10-5-5,6.0-7.0,18,12,0.5,1-1.5,5-7
Brussels Sprout,Brassica oleracea,Europe,"Fall, Winter",7-14 ,90-120 ,10-10-10,6.0-7.0,24,18,0.5,1.5-2,5-7
Burdock Root,Arctium lappa,Asia,"Spring, Fall",7-14 ,120-150 ,5-10-10,6.0-7.0,24,6,0.5,1-1.5,5-7
Butter Bean,Phaseolus lunatus,South America,Summer,7-14 ,75-90 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Butterhead Lettuce,Lactuca sativa,Europe,"Spring, Fall",7-14 ,50-60 ,10-5-5,6.0-7.0,12,8,0.25,1-1.5,3-5
Butternut Squash,Cucurbita moschata,North America,Summer,7-10 ,85-110 ,5-10-10,6.0-6.8,60,36,1,1.5-2,3-5
Cabbage,Brassica oleracea,Europe,"Spring, Fall",7-14 ,80-120 ,10-5-5,6.0-7.0,24,18,0.5,1.5-2,5-7
Cannellini Bean,Phaseolus vulgaris,Europe,Summer,7-14 ,70-90 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Caraway,Carum carvi,Europe,"Spring, Fall",7-14 ,120-150 ,5-5-5,6.0-7.0,18,12,0.25,1-1.5,7-10
Carnival Squash,Cucurbita pepo,North America,Summer,7-10 ,80-100 ,5-10-10,6.0-6.8,48,36,1,1.5-2,3-5
Carrot,Daucus carota,Europe,"Spring, Fall",7-14 ,70-80 ,5-10-10,6.0-6.8,12,2,0.25,1-1.5,5-7
Cauliflower,Brassica oleracea,Europe,"Spring, Fall",7-14 ,70-100 ,10-5-5,6.0-7.0,24,18,0.5,1.5-2,5-7
Cayenne Pepper,Capsicum annuum,South America,Summer,7-14 ,75-85 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Celeriac,Apium graveolens,Europe,"Spring, Fall",14-21 ,120-150 ,5-10-10,6.0-7.0,18,8,0.25,1.5-2,5-7
Celery,Apium graveolens,Europe,"Spring, Fall",14-21 ,120-150 ,5-10-10,6.0-7.0,18,8,0.25,1.5-2,3-5
Chamomile,Matricaria chamomilla,Europe,"Spring, Summer",7-14 ,60-90 ,5-5-5,6.0-7.0,12,6,0.25,0.5-1,7-10
Chard,Beta vulgaris,Europe,"Spring, Fall, Winter",7-14 ,50-60 ,10-5-5,6.0-7.0,18,12,0.5,1-1.5,5-7
Cheddar Cauliflower,Brassica oleracea,Europe,"Spring, Fall",7-14 ,70-100 ,10-5-5,6.0-7.0,24,18,0.5,1.5-2,5-7
Cherry Pepper,Capsicum annuum,South America,Summer,7-14 ,70-80 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Chickpeas,Cicer arietinum,Asia,"Spring, Summer",7-14 ,100-120 ,5-10-10,6.0-7.0,24,6,1,1-1.5,7-10
Chili Pepper,Capsicum annuum,South America,Summer,7-14 ,70-90 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Chives,Allium schoenoprasum,Europe,"Spring, Summer, Fall",7-14 ,60-90 ,5-5-5,6.0-7.0,12,6,0.25,1-1.5,5-7
Collard Greens,Brassica oleracea,North America,"Spring, Fall, Winter",7-14 ,60-75 ,10-5-5,6.0-7.0,24,18,0.5,1.5-2,5-7
Coriander,Coriandrum sativum,Europe,"Spring, Fall",7-14 ,45-70 ,5-5-5,6.0-7.0,12,6,0.25,1-1.5,5-7
Corms,Colocasia esculenta,Asia,"Spring, Summer",14-21 ,180-240 ,5-10-10,5.5-6.5,36,24,2,1.5-2,3-5
Corn,Zea mays,North America,Summer,7-14 ,60-100 ,5-10-10,6.0-6.8,36,12,1,1.5-2,3-5
Cucumber,Cucumis sativus,Asia,Summer,7-14 ,55-65 ,5-10-10,6.0-6.8,36,24,0.5,1.5-2,3-5
Cymbopogon,Cymbopogon citratus,Asia,"Spring, Summer",7-14 ,180-270 ,5-5-5,6.0-7.0,24,18,0.25,1-1.5,5-7
Daikon,Raphanus sativus,Asia,"Spring, Fall",7-14 ,50-60 ,5-10-10,6.0-7.0,18,4,0.5,1-1.5,5-7
Delicata,Cucurbita pepo,North America,Summer,7-10 ,85-100 ,5-10-10,6.0-6.8,48,36,1,1.5-2,3-5
Dickinson Pumpkin,Cucurbita moschata,North America,Summer,7-10 ,90-120 ,5-10-10,6.0-6.8,72,48,1,1.5-2,3-5
Dill,Anethum graveolens,Europe,"Spring, Summer",7-14 ,70-90 ,5-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Eddoe,Colocasia esculenta,Asia,"Spring, Summer",14-21 ,180-240 ,5-10-10,5.5-6.5,36,24,2,1.5-2,3-5
Eggplant,Solanum melongena,Asia,Summer,7-14 ,70-85 ,5-10-10,6.0-6.8,36,24,0.25,1.5-2,3-5
Endive,Cichorium endivia,Europe,"Spring, Fall",7-14 ,85-100 ,10-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Fat Hen,Chenopodium album,Europe,"Spring, Summer",7-14 ,60-80 ,5-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Fava Bean,Vicia faba,Europe,"Spring, Fall",7-14 ,80-100 ,5-10-10,6.0-7.0,24,8,1,1-1.5,5-7
Fayot Bean,Phaseolus vulgaris,Europe,Summer,7-14 ,70-90 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Fennel,Foeniculum vulgare,Europe,"Spring, Fall",7-14 ,90-115 ,5-5-5,6.0-7.0,18,12,0.25,1-1.5,7-10
Fiddlehead,Matteuccia struthiopteris,North America,Spring,14-21 ,730-1095 ,5-5-5,6.0-7.0,36,24,1,1.5-2,5-7
Field Cucumber,Cucumis sativus,Asia,Summer,7-14 ,55-65 ,5-10-10,6.0-6.8,36,24,0.5,1.5-2,3-5
Fiorentino Tomato,Solanum lycopersicum,Europe,Summer,7-14 ,70-85 ,5-10-5,6.0-6.8,36,24,0.5,1.5-2,3-5
Flat Beans,Phaseolus vulgaris,Europe,Summer,7-14 ,60-75 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Flat Italian Onion,Allium cepa,Europe,"Spring, Fall",7-14 ,100-120 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,7-10
Flat White Boer Pumpkin,Cucurbita maxima,North America,Summer,7-10 ,90-120 ,5-10-10,6.0-6.8,72,48,1,1.5-2,3-5
Flint Corn,Zea mays indurata,North America,Summer,7-14 ,90-120 ,5-10-10,6.0-6.8,36,12,1,1.5-2,3-5
Fluted Pumpkin,Telfairia occidentalis,Africa,Summer,7-14 ,90-120 ,5-10-10,6.0-7.0,60,48,1,1.5-2,3-5
French Bean,Phaseolus vulgaris,Europe,Summer,7-14 ,60-75 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
French Sorrel,Rumex scutatus,Europe,"Spring, Summer, Fall",7-14 ,60-90 ,5-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Frisée,Cichorium endivia,Europe,"Spring, Fall",7-14 ,85-100 ,10-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Futsu Squash,Cucurbita moschata,Asia,Summer,7-10 ,90-110 ,5-10-10,6.0-6.8,48,36,1,1.5-2,3-5
Garlic,Allium sativum,Asia,Fall,7-14 ,240-270 ,5-10-10,6.0-7.0,12,6,1,1-1.5,7-10
Gem Squash,Cucurbita pepo,North America,Summer,7-10 ,80-100 ,5-10-10,6.0-6.8,48,36,1,1.5-2,3-5
German Butterball Potato,Solanum tuberosum,Europe,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Gigante Bean,Phaseolus coccineus,Europe,Summer,7-14 ,90-120 ,5-10-10,6.0-7.0,36,8,1,1-1.5,5-7
Ginger,Zingiber officinale,Asia,"Spring, Summer",14-21 ,240-300 ,5-10-10,6.0-6.5,24,12,2,1.5-2,3-5
Gold rush Squash,Cucurbita pepo,North America,Summer,7-10 ,80-100 ,5-10-10,6.0-6.8,48,36,1,1.5-2,3-5
Great Northern Bean,Phaseolus vulgaris,North America,Summer,7-14 ,70-90 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Green Bean,Phaseolus vulgaris,South America,Summer,7-14 ,50-60 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Habanero Pepper,Capsicum chinense,South America,Summer,7-14 ,90-120 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Honey Bear Squash,Cucurbita pepo,North America,Summer,7-10 ,85-100 ,5-10-10,6.0-6.8,48,36,1,1.5-2,3-5
Honeynut Squash,Cucurbita moschata,North America,Summer,7-10 ,85-110 ,5-10-10,6.0-6.8,60,36,1,1.5-2,3-5
Hot Pepper,Capsicum annuum,South America,Summer,7-14 ,70-90 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Hubbard Squash,Cucurbita maxima,North America,Summer,7-10 ,90-120 ,5-10-10,6.0-6.8,72,48,1,1.5-2,3-5
Jalapeño,Capsicum annuum,South America,Summer,7-14 ,70-80 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Japanese Sweet Potato,Ipomoea batatas,Asia,Summer,14-21 ,90-120 ,5-10-10,5.5-6.5,36,12,4,1-1.5,7-10
Jerusalem Artichoke,Helianthus tuberosus,North America,"Spring, Fall",14-21 ,120-150 ,5-10-10,6.0-7.0,36,24,2,1-1.5,7-10
Jicama,Pachyrhizus erosus,Central America,Summer,14-21 ,150-180 ,5-10-10,6.0-7.0,24,12,1,1-1.5,7-10
Kale,Brassica oleracea,Europe,"Spring, Fall, Winter",7-14 ,50-65 ,10-5-5,6.0-7.0,18,12,0.5,1.5-2,5-7
Kelp,Laminaria,Asia,"Spring, Summer",7-14 ,180-365 ,5-5-5,6.0-7.0,N/A,N/A,N/A,N/A,N/A
Kidney Bean,Phaseolus vulgaris,South America,Summer,7-14 ,85-100 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Kohlrabi,Brassica oleracea,Europe,"Spring, Fall",7-14 ,55-70 ,10-5-5,6.0-7.0,18,8,0.25,1-1.5,5-7
Konjac,Amorphophallus konjac,Asia,"Spring, Summer",14-21 ,730-1095 ,5-5-5,6.0-7.0,36,24,2,1.5-2,5-7
Lavender,Lavandula,Europe,Spring,14-21 ,730-1095 ,5-5-5,6.0-7.0,24,18,0.25,0.5-1,10-14
Leek,Allium ampeloprasum,Europe,"Spring, Fall",7-14 ,120-150 ,5-10-10,6.0-7.0,12,6,0.5,1-1.5,5-7
Lentil,Lens culinaris,Asia,"Spring, Fall",7-14 ,100-120 ,5-10-10,6.0-7.0,18,2,1,1-1.5,7-10
Lettuce,Lactuca sativa,Europe,"Spring, Fall",7-14 ,45-60 ,10-5-5,6.0-7.0,12,8,0.25,1-1.5,3-5
Lima bean,Phaseolus lunatus,South America,Summer,7-14 ,75-90 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Lumina Pumpkin,Cucurbita pepo,North America,Summer,7-10 ,90-120 ,5-10-10,6.0-6.8,72,48,1,1.5-2,3-5
Malanga,Xanthosoma sagittifolium,South America,"Spring, Summer",14-21 ,240-300 ,5-10-10,5.5-6.5,36,24,2,1.5-2,3-5
Mallow,Malva,Europe,"Spring, Summer",7-14 ,60-90 ,5-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Mangelwurzel,Beta vulgaris,Europe,"Spring, Fall",7-14 ,90-120 ,5-10-10,6.0-7.0,18,6,0.5,1-1.5,5-7
Mangetout,Pisum sativum,Europe,"Spring, Fall",7-14 ,60-70 ,5-10-10,6.0-7.0,18,2,1,1-1.5,5-7
Marjoram,Origanum majorana,Europe,"Spring, Summer",7-14 ,60-90 ,5-5-5,6.0-7.0,12,6,0.25,0.5-1,7-10
Miner’s Lettuce,Claytonia perfoliata,North America,"Spring, Fall",7-14 ,40-60 ,10-5-5,6.0-7.0,12,6,0.25,1-1.5,3-5
Molokhia,Corchorus olitorius,Africa,Summer,7-14 ,60-80 ,10-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Morels,Morchella,North America,Spring,14-21 ,N/A,5-5-5,6.0-7.0,N/A,N/A,N/A,N/A,N/A
Mung Bean,Vigna radiata,Asia,Summer,7-14 ,90-120 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Mushroom,Agaricus bisporus,Europe,Year-round,14-21 ,60-90 ,5-5-5,6.0-7.0,N/A,N/A,N/A,N/A,N/A
Mustard Greens,Brassica juncea,Asia,"Spring, Fall",7-14 ,40-50 ,10-5-5,6.0-7.0,12,6,0.25,1-1.5,3-5
Navy Bean,Phaseolus vulgaris,North America,Summer,7-14 ,70-90 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Nettle,Urtica dioica,Europe,"Spring, Summer",7-14 ,60-90 ,5-5-5,6.0-7.0,24,18,0.25,1-1.5,5-7
New Potato,Solanum tuberosum,South America,Spring,14-21 ,70-90 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
New Zealand Spinach,Tetragonia tetragonioides,Oceania,"Spring, Summer, Fall",7-14 ,55-70 ,10-5-5,6.0-7.0,18,12,0.5,1-1.5,5-7
Oak Leaf Lettuce,Lactuca sativa,Europe,"Spring, Fall",7-14 ,45-60 ,10-5-5,6.0-7.0,12,8,0.25,1-1.5,3-5
Okra,Abelmoschus esculentus,Africa,Summer,7-14 ,55-65 ,5-10-10,6.0-7.0,24,12,0.5,1-1.5,5-7
Onion,Allium cepa,Asia,"Spring, Fall",7-14 ,100-120 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,7-10
Orange Bell Pepper,Capsicum annuum,South America,Summer,7-14 ,70-90 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Orange Tomato,Solanum lycopersicum,South America,Summer,7-14 ,75-85 ,5-10-5,6.0-6.8,36,24,0.5,1.5-2,3-5
Oregano,Origanum vulgare,Europe,"Spring, Summer",7-14 ,90-120 ,5-5-5,6.0-7.0,18,12,0.25,0.5-1,7-10
Paprika,Capsicum annuum,South America,Summer,7-14 ,90-120 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Parsnip,Pastinaca sativa,Europe,"Spring, Fall",14-21 ,120-180 ,5-10-10,6.0-7.0,18,6,0.5,1-1.5,5-7
Pattypan Squash,Cucurbita pepo,North America,Summer,7-10 ,50-70 ,5-10-10,6.0-6.8,36,24,1,1.5-2,3-5
Pea,Pisum sativum,Europe,"Spring, Fall",7-14 ,60-70 ,5-10-10,6.0-7.0,18,2,1,1-1.5,5-7
Peanut,Arachis hypogaea,South America,Summer,7-14 ,100-130 ,5-10-10,6.0-6.5,24,6,1,1-1.5,7-10
Pepper,Capsicum annuum,South America,Summer,7-14 ,70-90 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Peruvian Purple Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Pie Pumpkin,Cucurbita pepo,North America,Summer,7-10 ,90-120 ,5-10-10,6.0-6.8,72,48,1,1.5-2,3-5
Pinto Bean,Phaseolus vulgaris,South America,Summer,7-14 ,85-100 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Purple Asparagus,Asparagus officinalis,Europe,Spring,7-10 ,730-1095 ,5-10-10,6.0-6.8,48,18,1,1.5-2,5-7
Purple Bell Pepper,Capsicum annuum,South America,Summer,7-14 ,70-90 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Purple Brussels Sprout,Brassica oleracea,Europe,"Fall, Winter",7-14 ,90-120 ,10-10-10,6.0-7.0,24,18,0.5,1.5-2,5-7
Purple Cabbage,Brassica oleracea,Europe,"Spring, Fall",7-14 ,80-120 ,10-5-5,6.0-7.0,24,18,0.5,1.5-2,5-7
Purple Carrot,Daucus carota,Europe,"Spring, Fall",7-14 ,70-80 ,5-10-10,6.0-6.8,12,2,0.25,1-1.5,5-7
Purple Cauliflower,Brassica oleracea,Europe,"Spring, Fall",7-14 ,70-100 ,10-5-5,6.0-7.0,24,18,0.5,1.5-2,5-7
Purple Corn,Zea mays,South America,Summer,7-14 ,90-120 ,5-10-10,6.0-6.8,36,12,1,1.5-2,3-5
Purple Kale,Brassica oleracea,Europe,"Spring, Fall, Winter",7-14 ,50-65 ,10-5-5,6.0-7.0,18,12,0.5,1.5-2,5-7
Purple Lettuce,Lactuca sativa,Europe,"Spring, Fall",7-14 ,45-60 ,10-5-5,6.0-7.0,12,8,0.25,1-1.5,3-5
Purple Majesty Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Purple Radish,Raphanus sativus,Europe,"Spring, Fall",5-10 ,55-70 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,5-7
Purple String Bean,Phaseolus vulgaris,South America,Summer,7-14 ,50-60 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Purple Tomato,Solanum lycopersicum,South America,Summer,7-14 ,75-85 ,5-10-5,6.0-6.8,36,24,0.5,1.5-2,3-5
Radicchio,Cichorium intybus,Europe,"Spring, Fall",7-14 ,85-100 ,10-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Radish,Raphanus sativus,Europe,"Spring, Fall",5-10 ,20-30 ,5-10-10,6.0-7.0,6,2,0.5,1-1.5,3-5
Red Bell Pepper,Capsicum annuum,South America,Summer,7-14 ,70-90 ,5-10-10,6.0-6.8,24,18,0.25,1-1.5,5-7
Red Bliss Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Red Cabbage,Brassica oleracea,Europe,"Spring, Fall",7-14 ,80-120 ,10-5-5,6.0-7.0,24,18,0.5,1.5-2,5-7
Red Carrot,Daucus carota,Europe,"Spring, Fall",7-14 ,70-80 ,5-10-10,6.0-6.8,12,2,0.25,1-1.5,5-7
Red Gold Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Red Kuri Squash,Cucurbita maxima,North America,Summer,7-10 ,90-110 ,5-10-10,6.0-6.8,60,48,1,1.5-2,3-5
Red Onion,Allium cepa,Asia,"Spring, Fall",7-14 ,100-120 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,7-10
Red Russian Kale,Brassica oleracea,Europe,"Spring, Fall, Winter",7-14 ,50-65 ,10-5-5,6.0-7.0,18,12,0.5,1.5-2,5-7
Red Warty Thing Squash,Cucurbita maxima,North America,Summer,7-10 ,90-120 ,5-10-10,6.0-6.8,72,48,1,1.5-2,3-5
Red Wing Onion,Allium cepa,Asia,"Spring, Fall",7-14 ,100-120 ,5-10-10,6.0-7.0,12,4,0.5,1-1.5,7-10
Rhubarb,Rheum rhabarbarum,Europe,Spring,14-21 ,730-1095 ,5-10-10,6.0-7.0,48,36,1,1.5-2,5-7
Rosemary,Salvia rosmarinus,Europe,Spring,14-21 ,365-730 ,5-5-5,6.0-7.0,24,18,0.25,0.5-1,10-14
Runner Bean,Phaseolus coccineus,Europe,Summer,7-14 ,90-120 ,5-10-10,6.0-7.0,36,8,1,1-1.5,5-7
Russian Banana Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Rutabaga,Brassica napus,Europe,"Spring, Fall]",7-14 ,90-120 ,5-10-10,6.0-7.0,18,8,0.5,1-1.5,5-7
Salsify,Tragopogon porrifolius,Europe,"Spring, Fall",14-21 ,120-150 ,5-10-10,6.0-7.0,18,6,0.5,1-1.5,5-7
Savoy Cabbage,Brassica oleracea,Europe,"Spring, Fall",7-14 ,80-120 ,10-5-5,6.0-7.0,24,18,0.5,1.5-2,5-7
Scallion,Allium fistulosum,Asia,"Spring, Fall",7-14 ,60-80 ,5-10-10,6.0-7.0,12,2,0.25,1-1.5,5-7
Shallot,Allium cepa,Asia,"Spring, Fall",7-14 ,90-120 ,5-10-10,6.0-7.0,12,6,0.5,1-1.5,7-10
Skirret,Sium sisarum,Europe,"Spring, Fall",14-21 ,120-150 ,5-10-10,6.0-7.0,18,6,0.5,1-1.5,5-7
Snap Pea,Pisum sativum,Europe,"Spring, Fall",7-14 ,60-70 ,5-10-10,6.0-7.0,18,2,1,1-1.5,5-7
Soybean,Glycine max,Asia,Summer,7-14 ,80-100 ,5-10-10,6.0-7.0,24,4,1,1-1.5,5-7
Spaghetti Squash,Cucurbita pepo,North America,Summer,7-10 ,90-100 ,5-10-10,6.0-6.8,60,36,1,1.5-2,3-5
Spinach,Spinacia oleracea,Asia,"Spring, Fall, Winter",7-14 ,45-50 ,10-5-5,6.0-7.0,12,6,0.5,1-1.5,3-5
Split Pea,Pisum sativum,Europe,"Spring, Fall",7-14 ,60-70 ,5-10-10,6.0-7.0,18,2,1,1-1.5,5-7
Squash,Cucurbita,North America,Summer,7-10 ,80-120 ,5-10-10,6.0-6.8,60,36,1,1.5-2,3-5
Stokes Purple Sweet Potato,Ipomoea batatas,South America,Summer,14-21 ,90-120 ,5-10-10,5.5-6.5,36,12,4,1-1.5,7-10
