Common Name,Scientific Name,Companion Plants,Soil Benefits,Other Benefits,Row Space (in.),Plant Space (in.),Planting Depth (in.),Inches of Water (Weekly),Water Frequency (days)
Winged Bean,Psophocarpus tetragonolobus,"Corn, Sweet Potato","Edible all parts","Tropical",24,6,1.0,1.5-2,3-5
Tepary Bean,Phaseolus acutifolius,"Corn, Squash","Extreme drought-tolerant","Native American",24,4,1.0,1-1.5,7-10
Rice,Oryza sativa,"Duckweed, Azolla","Wetland crop","Staple grain",12,4,0.5,2-3,1-3
Wild Rice,Zizania spp.,"Cattails, Duckweed","Aquatic","Native American",12,4,0.5,2-3,1-3
Lotus,Nelumbo nucifera,"Water lilies","Sacred flower","Edible rhizomes",48,24,4.0,2-3,1-3
Water Chestnut,Eleocharis dulcis,"Rice, Taro","Aquatic","Crunchy texture",24,12,1.0,2-3,1-3
Taro,Colocasia esculenta,"Ginger, Lemongrass","Tropical staple","Poisonous raw",36,24,2.0,1.5-2,3-5
Malanga,Xanthosoma sagittifolium,"Taro, Ginger","Tropical","Starchy tubers",36,24,2.0,1.5-2,3-5
Cassava,Manihot esculenta,"Beans, Peppers","Drought-resistant","Toxic raw",48,36,4.0,1-1.5,7-10
Breadfruit,Artocarpus altilis,"Banana, Taro","Tropical staple","Starchy fruit",240,240,4.0,1.5-2,3-5
Jackfruit,Artocarpus heterophyllus,"Pepper, Ginger","World's largest fruit","Meaty texture",240,240,4.0,1.5-2,3-5
Durian,Durio spp.,"Rambutan, Banana","Tropical","Pungent aroma",240,240,4.0,1.5-2,3-5
Mangosteen,Garcinia mangostana,"Banana, Ginger","Tropical","Queen of fruits",240,240,4.0,1.5-2,3-5
Rambutan,Nephelium lappaceum,"Durian, Banana","Tropical","Hairy fruit",240,240,4.0,1.5-2,3-5
Longan,Dimocarpus longan,"Lychee, Banana","Tropical","Dragon eye fruit",240,240,4.0,1.5-2,3-5
Lychee,Litchi chinensis,"Longan, Banana","Tropical","Fragrant fruit",240,240,4.0,1.5-2,3-5
Carambola,Averrhoa carambola,"Banana, Ginger","Tropical","Star fruit",180,180,4.0,1.5-2,3-5
Guava,Psidium guajava,"Banana, Pineapple","Tropical","Vitamin C rich",180,180,4.0,1.5-2,3-5
Feijoa,Acca sellowiana,"Guava, Citrus","Subtropical","Pineapple flavor",180,180,4.0,1.5-2,3-5
Pomegranate,Punica granatum,"Fig, Olive","Drought-tolerant","Juicy arils",180,180,4.0,1-1.5,7-10
Persimmon,Diospyros kaki,"Fig, Mulberry","Fall fruit","Astringent varieties",240,240,4.0,1-1.5,7-10
Loquat,Eriobotrya japonica,"Citrus, Fig","Evergreen","Early spring fruit",180,180,4.0,1-1.5,7-10
Jujube,Ziziphus jujuba,"Fig, Pomegranate","Drought-hardy","Date-like fruit",180,180,4.0,1-1.5,7-10
Mulberry,Morus spp.,"Grapes, Figs","Bird attractant","Fast-growing",240,240,4.0,1-1.5,7-10
Pawpaw,Asimina triloba,"Ginseng, Mayapple","Native fruit","Tropical flavor",180,180,4.0,1.5-2,5-7
Maypop,Passiflora incarnata,"Blackberry, Raspberry","Native passionfruit","Medicinal",180,180,4.0,1.5-2,5-7
Kiwi,Actinidia spp.,"Grapes, Hops","Vining","Fuzzy/hardy types",120,120,4.0,1.5-2,5-7
Grapes,Vitis spp.,"Hops, Kiwi","Arbor needed","Wine/table varieties",120,120,4.0,1-1.5,7-10
Hops,Humulus lupulus,"Grapes, Comfrey","Fast-growing vine","Brewing",120,120,4.0,1.5-2,5-7
Olive,Olea europaea,"Lavender, Rosemary","Drought-tolerant","Long-lived",240,240,4.0,1-1.5,14-21
Date,Phoenix dactylifera,"Fig, Pomegranate","Desert-adapted","Sweet fruit",240,240,4.0,1-1.5,14-21
Fig,Ficus carica,"Comfrey, Borage","Drought-resistant","Two crops/year",180,180,4.0,1-1.5,7-10
Pineapple,Ananas comosus,"Guava, Banana","Bromeliad","Tropical",36,36,4.0,1.5-2,5-7
Banana,Musa spp.,"Sweet Potato, Ginger","Tropical","Clumping",96,96,4.0,1.5-2,3-5
Plantain,Musa × paradisiaca,"Banana, Taro","Cooking banana","Starchy",96,96,4.0,1.5-2,3-5
Papaya,Carica papaya,"Banana, Pineapple","Fast-growing","Tropical",96,96,4.0,1.5-2,3-5
Mango,Mangifera indica,"Guava, Banana","Tropical","National fruit",240,240,4.0,1.5-2,3-5
Avocado,Persea americana,"Comfrey, Banana","Subtropical","Healthy fats",240,240,4.0,1.5-2,5-7
Cashew,Anacardium occidentale,"Pepper, Pineapple","Tropical","Nut/fruit",240,240,4.0,1.5-2,5-7
Macadamia,Macadamia integrifolia,"Avocado, Banana","Subtropical","Rich nuts",240,240,4.0,1.5-2,7-10
Pecan,Carya illinoinensis,"Comfrey, Clover","Long-lived","Native nut",480,480,4.0,1.5-2,7-10
Walnut,Juglans spp.,"Comfrey, Pawpaw","Allelopathic","Wood/nuts",480,480,4.0,1.5-2,7-10
Hazelnut,Corylus spp.,"Comfrey, Berries","Shrub form","Filberts",180,180,4.0,1.5-2,7-10
Chestnut,Castanea spp.,"Comfrey, Berries","Nutritious nuts","Blight-resistant",480,480,4.0,1.5-2,7-10
Pistachio,Pistacia vera,"Almond, Olive","Drought-tolerant","Salty nuts",240,240,4.0,1-1.5,14-21
Almond,Prunus dulcis,"Pistachio, Olive","Early bloomer","California staple",240,240,4.0,1-1.5,14-21
Coconut,Cocos nucifera,"Banana, Taro","Tropical","Versatile",480,480,4.0,1.5-2,3-5
Vanilla,Vanilla planifolia,"Banana, Ginger","Vining orchid","Labor-intensive",120,120,4.0,1.5-2,5-7
Cacao,Theobroma cacao,"Banana, Ginger","Tropical understory","Chocolate",240,240,4.0,1.5-2,3-5
Coffee,Coffea spp.,"Banana, Ginger","Understory shrub","Cherries",180,180,4.0,1.5-2,5-7
Tea,Camellia sinensis,"Azalea, Blueberry","Acid-loving","Leaves for brewing",180,180,4.0,1.5-2,5-7
